number;variety;type
654;Sirica;Red
655;Vital;White
656;Espadeiro;Red
657;Apple;White
658;Pinot Grigio-Sauvignon Blanc;White
659;Blatina;Red
660;Karalahna;Red
661;Feteasca;White
662;Sercial;White
663;Valvin Muscat;White
664;Malvasia Fina;White
665;Roditis-Moschofilero;White
666;St. Vincent;Red
667;Chancellor;Red
668;Premsal;White
669;Jampal;White
670;Tokay Pinot Gris;White
671;Colorino;Red
672;Picapoll;White
673;Blauburger;Red
674;Tinta Madeira;Red
675;Centesimino;Red
676;Grenache Gris;White
677;Trajadura;White
678;Merlot-Petite Verdot;Red
679;Ramisco;Red
680;Catalanesca;Red
681;Garnacha-Cabernet;Red
682;Garnacha-Cariñena;Red
683;Gamza;Red
684;Cabernet Franc-Lemberger;Red
685;Chardonnay-Albariño;White
686;Shiraz-Mourvèdre;Red
687;Mavrokalavryta;White
688;Favorita;White
689;Babosa Negro;White
690;Tintilia;Red
691;Dafni;White
692;Petit Courbu;White
693;Kotsifali;Red
694;Parraleta;Red
695;Moscato di Noto;White
696;Roscetto;White
697;Torontel;White
698;Otskhanuri Sapere;Red
699;Viognier-Valdiguié;White
700;Trollinger;Red
701;Tsapournakos;Red
702;Francisa;Red
703;Kuntra;Red
704;Pignolo;Red
705;Caprettone;White
706;Ondenc;White
707;Athiri;White
708;Bobal-Cabernet Sauvignon;Red
